alpha,mean_rankIC_5d,ICIR_5d,stability_pos_ratio,mean_rankIC_1w,ICIR_1w,stability_pos_ratio_1w,direction,turnover_weekly,sharpe_weekly,sharpe_weekly_net,mdd,mdd_net,n_rankic_days,n_weeks
llm_vol_008,0.01226646443214947,0.059575597123133525,0.5561797752808989,0.012039983285169422,0.05857298515686107,0.576271186440678,1.0,0.7774097749778683,0.586973489949702,0.31372120221650357,-0.26435977850323567,-0.32734599705247247,3710,771
llm_rev_006,0.006323543213818873,0.027234019574223587,0.5418994413407822,0.011340591032025244,0.049165379216099356,0.5698324022346368,1.0,1.1078585691871956,0.07188621531384683,-0.2770052825722705,-0.5024668976400055,-0.6088313579318655,3750,779
llm_vol_015,0.004421324634665892,0.022020543933475488,0.5393258426966292,0.010447185607647739,0.05268583658258695,0.5536723163841808,1.0,0.7666630638420521,0.14783976485086117,-0.1265441449806667,-0.4524982976664861,-0.5746355282869047,3710,771
llm_rev_013,0.013592339406755746,0.05496299102298387,0.5586592178770949,0.010413219821014947,0.04290113937439875,0.5921787709497207,1.0,0.9896769362430469,0.4380211043395444,0.145678239527149,-0.5149556798539598,-0.566526315283479,3750,779
llm_mom_020,0.005363973131435618,0.02496667632155386,0.5307262569832403,0.009106141358369678,0.043931043427219325,0.5698324022346368,1.0,1.0635226277074799,0.3926151800207188,0.010975781115926432,-0.3682680144522136,-0.4956700211903241,3750,779
llm_rev_014,0.010412080602902198,0.040215217118725735,0.5561797752808989,0.008966026644824666,0.03533821731255792,0.5310734463276836,1.0,0.7121935025631524,0.31861335572491367,0.12167843662011757,-0.4475603160057072,-0.4879453722521173,3710,771
llm_vol_016,0.002882665590485566,0.014660275214590754,0.550561797752809,0.008708509626353014,0.043825522800709275,0.5310734463276836,1.0,1.0370421839293433,0.18023920615865427,-0.19037818772468693,-0.4431409271749903,-0.6156733783839221,3710,771
llm_rev_017,0.006379446505249592,0.02810317716686173,0.5195530726256983,0.00833877374425911,0.03808638386979279,0.5865921787709497,1.0,1.0941516249697931,-0.2486357064947884,-0.6109516555232353,-0.6343444025601446,-0.8193776150371639,3749,779
llm_rev_007,0.01033454687746373,0.03997457131606202,0.5168539325842697,0.007078621975926212,0.027774166139101924,0.536723163841808,1.0,0.459491384102279,0.30575273613873655,0.17948946479605743,-0.2400034554728281,-0.29575349999248335,3710,771
llm_mom_016,0.009746898435308397,0.04593884428626799,0.5056179775280899,0.00618131183599733,0.02950217024701905,0.5254237288135594,1.0,0.9671448129619337,0.4221179783907397,0.10366126421330726,-0.30364109390398264,-0.43785965078267375,3710,771
llm_vol_014,0.006035854324255781,0.030393381640010653,0.5280898876404494,0.004875395741891248,0.024436525849460964,0.5084745762711864,1.0,1.3808726041216315,0.10773578382944379,-0.39878609206409155,-0.38190162617244705,-0.6438008944454073,3710,771
llm_mom_008,0.007620675259862702,0.030432427696984492,0.5449438202247191,0.004837106595771552,0.019455556976736437,0.5028248587570622,1.0,0.5375877545138245,0.26052390089479505,0.11501281232275763,-0.3012477159719118,-0.35319131991883035,3710,771
llm_mom_002,0.00719306597081619,0.0276863637620618,0.4943820224719101,0.004641226078966773,0.018127531675396893,0.4745762711864407,1.0,0.4373082782615856,0.2520007615448765,0.13409009160235327,-0.3746863323211038,-0.450447382936621,3710,771
